COUNTYNS,ST,COUNTY,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ID_00277280,CA,Kings,36%,20%,71%,67%,100%,100%,67%,100%,71%,114%,75%,75%,83%,80%,75%,100%,67%
ID_00277281,CA,Lake,67%,50%,67%,100%,67%,133%,100%,0%,20%,80%,86%,200%,200%,100%,75%,100%,60%
ID_00277283,CA,Los Angeles,58%,58%,55%,73%,54%,50%,50%,52%,52%,49%,47%,44%,47%,49%,53%,34%,37%
ID_00277284,CA,Madera,29%,25%,33%,46%,50%,80%,50%,67%,40%,40%,50%,50%,0%,14%,43%,14%,30%
ID_00277285,CA,Marin,33%,83%,80%,50%,,100%,50%,75%,20%,100%,33%,33%,67%,,75%,100%,100%
ID_00277286,CA,Mariposa,,,,,33%,,,,100%,,100%,100%,0%,,,,
ID_00277287,CA,Mendocino,63%,50%,57%,25%,50%,114%,75%,20%,57%,100%,50%,75%,100%,78%,100%,125%,60%
ID_00277288,CA,Merced,150%,63%,24%,37%,48%,71%,81%,54%,43%,71%,50%,50%,56%,50%,61%,20%,83%
ID_00277289,CA,Modoc,100%,,100%,100%,100%,,100%,,,100%,,,,,,100%,
ID_00277290,CA,Mono,0%,,,,,,,,,,,,,0%,,,100%
ID_00277291,CA,Monterey,29%,37%,50%,38%,33%,41%,27%,29%,44%,34%,33%,36%,24%,41%,39%,31%,52%
ID_00277292,CA,Napa,100%,167%,60%,200%,100%,33%,150%,100%,0%,67%,100%,100%,0%,0%,50%,100%,67%
ID_00277294,CA,Orange,88%,72%,72%,92%,110%,95%,106%,122%,90%,81%,71%,87%,83%,73%,66%,65%,102%
ID_00277295,CA,Placer,133%,50%,100%,100%,150%,86%,50%,100%,67%,75%,100%,100%,133%,90%,100%,67%,80%
ID_00277296,CA,Plumas,50%,100%,100%,100%,,100%,,100%,67%,100%,,,100%,100%,,100%,100%
ID_00277297,CA,Riverside,53%,60%,59%,62%,53%,75%,61%,63%,44%,53%,49%,48%,53%,60%,53%,62%,58%
ID_00277298,CA,Sacramento,39%,62%,73%,65%,81%,86%,89%,110%,80%,67%,54%,64%,68%,77%,72%,77%,87%
ID_00277299,CA,San Benito,0%,0%,25%,50%,100%,20%,0%,,67%,40%,100%,0%,,100%,100%,33%,33%
ID_00277300,CA,San Bernardino,64%,65%,71%,62%,78%,82%,78%,71%,66%,55%,64%,50%,62%,56%,70%,66%,64%
ID_00277301,CA,San Diego,73%,90%,77%,93%,80%,88%,107%,97%,87%,64%,58%,69%,68%,55%,75%,63%,64%
ID_00277302,CA,San Francisco,66%,52%,60%,53%,57%,36%,46%,74%,18%,48%,50%,38%,42%,39%,31%,52%,47%
ID_00277303,CA,San Joaquin,31%,33%,42%,49%,45%,36%,59%,53%,69%,56%,61%,45%,60%,64%,59%,42%,69%
ID_00277304,CA,San Luis Obispo,125%,100%,67%,60%,133%,80%,117%,100%,100%,60%,83%,50%,100%,100%,67%,86%,33%
ID_00277305,CA,San Mateo,122%,79%,73%,27%,20%,50%,30%,38%,67%,15%,38%,40%,50%,30%,29%,47%,50%
ID_00277306,CA,Santa Barbara,85%,72%,88%,67%,100%,70%,73%,91%,93%,60%,77%,89%,71%,100%,88%,92%,80%
ID_00277307,CA,Santa Clara,61%,77%,73%,72%,65%,73%,72%,76%,74%,70%,58%,95%,84%,85%,95%,53%,76%
ID_00277308,CA,Santa Cruz,40%,67%,56%,73%,60%,60%,93%,80%,75%,50%,63%,120%,20%,38%,100%,77%,75%
ID_00277310,CA,Sierra,,,,,,,,,,,,,,100%,,,
ID_00277311,CA,Siskiyou,100%,50%,100%,0%,0%,50%,100%,100%,200%,100%,,50%,100%,100%,100%,100%,100%
ID_00277312,CA,Solano,79%,58%,59%,32%,61%,60%,42%,30%,46%,61%,79%,31%,53%,90%,69%,80%,76%
